price,title,buying_mode,condition,accepts_mercadopago,warranty,free_shipping_ind,date_created,last_updated,etiqueta_busqueda
1964999,Samsung Galaxy S23 Plus 8gb 256gb Color Cream,buy_it_now,new,True,Garantía de fábrica: 12 meses,True,2024-01-17T17:15:28.000Z,2024-05-15T10:57:08.378Z,Samsung_s23
1526999,Samsung Galaxy S23 256 Gb Phantom Black 8 Gb,buy_it_now,new,True,Garantía de fábrica: 12 meses,True,2023-06-02T14:44:50.000Z,2024-05-14T21:04:02.288Z,Samsung_s23
1249999,Samsung Galaxy S23 Fe 256gb 8gb Ram Crema ,buy_it_now,new,True,Garantía de fábrica: 12 meses,True,2024-03-06T17:44:41.000Z,2024-05-14T22:47:27.402Z,Samsung_s23
1715929,Samsung Galaxy S23 Plus 512gb Color Phantom Black,buy_it_now,new,True,Garantía de fábrica: 12 meses,True,2024-03-11T19:48:05.000Z,2024-05-15T03:20:34.214Z,Samsung_s23
1164999,Samsung Galaxy S23 Fe 128gb Mint 8gb Ram,buy_it_now,new,True,,True,2024-03-26T18:14:52.000Z,2024-05-15T05:42:37.705Z,Samsung_s23
756000,Samsung Galaxy Galaxy A55 5g Dual Sim 256 Gb Azul Claro 8 Gb Ram,buy_it_now,new,True,Garantía de fábrica: 3 meses,True,2024-04-16T15:39:06.000Z,2024-05-14T15:35:49.602Z,Samsung_s23
2171146.27,Samsung Galaxy S23 Ultra 5g 256 Gb  Cream 12 Gb Ram,buy_it_now,new,True,Garantía de fábrica: 6 meses,True,2024-03-04T01:18:53.000Z,2024-05-14T12:55:05.633Z,Samsung_s23
2489955,Samsung Galaxy S23 Ultra 5g 512 Gb  Green 12 Gb Ram,buy_it_now,new,True,Garantía de fábrica: 6 meses,True,2024-03-04T01:49:26.000Z,2024-05-15T01:07:31.351Z,Samsung_s23
3609999.05,Samsung Galaxy Z Fold5 5g Dual Sim 512 Gb  Azul 12 Gb Ram,buy_it_now,new,True,Garantía del vendedor: 3 días,True,2024-01-29T20:54:07.000Z,2024-05-14T12:49:40.000Z,Samsung_s23
950000,Samsung Galaxy S23 128 Gb Phantom Black 8 Gb Ram,buy_it_now,new,True,Garantía de fábrica: 1 años,True,2024-05-12T14:45:45.000Z,2024-05-15T02:59:12.774Z,Samsung_s23
449000,Celular Samsung Galaxy M12 128gb + 4gb Ram Dual Sim Liberado Color Azul,buy_it_now,new,True,Garantía del vendedor: 30 días,True,2024-02-06T18:30:20.000Z,2024-05-14T22:29:19.705Z,Samsung_s23
1920999,Samsung Galaxy Z Fold5 256gb Blue,buy_it_now,new,True,,True,2023-09-08T15:40:36.000Z,2024-05-14T21:23:55.278Z,Samsung_s23
